Property_ID,Listing_Date,Address,City,State,Postal_Code,Property_Type,Bedrooms,Bathrooms,Square_Feet,Lot_Size_Acres,Year_Built,Listing_Price,Sale_Price,Sale_Date,Agent_Name,Agent_Contact,Days_on_Market,Has_Garage,Pool
PROP1022,2024-05-24,"851 Brandon Estate, Lake John, VI 75717",Griffinville,CA,65871,House,3,2,1737,2.95,1987,968150,985744,2025-05-09,Melinda Hamilton,(919)329-7000x1419,227,False,True
PROP1023,2024-05-02,"989 Sabrina Ports Apt. 197, New Natalie, KY 79673",New Caseymouth,NV,55941,Cottage,5,1,1488,3.45,1952,60020,57051,2024-11-27,Jeffrey Morrison,4496686600,23,False,False
PROP1024,2025-04-16,"264 Adams Place, East Jasonport, PW 46372",Michaelbury,NC,59712,Condo,4,1,1015,1.3,2006,1832897,1871580,2025-01-14,Jeremiah Park,472.518.5214,135,False,False
PROP1025,2025-04-03,"2919 Hernandez Brook, Williamsland, WI 39189",Port Destiny,NC,07618,Apartment,5,3,4368,1.59,1950,1931644,1892027,2025-06-28,Madison Castillo,+1-325-852-5618x663,44,True,True
PROP1026,2025-02-24,"33602 Candace Trafficway Apt. 136, New Maryside, AS 12977",Kathystad,OH,21298,Apartment,4,1,2886,2.51,1996,1396089,1408920,2025-06-03,Jerry Anderson,9689538808,27,True,False
PROP1027,2023-08-01,"379 Joshua Views Apt. 713, New Karamouth, ND 78468",Marquezhaven,PW,06964,House,5,3,4310,0.92,1963,398890,399892,2025-05-28,Melissa Swanson,674.539.8897x42181,281,True,True
PROP1028,2024-08-13,"PSC 4942, Box 5103, APO AE 56349",Richardfort,VT,03154,Villa,5,2,3543,2.43,1986,322511,329187,2025-06-24,Ann Richards,+1-433-725-0159,226,False,True
PROP1029,2024-08-14,"654 David Mission Apt. 300, West Robertside, ME 99218",Tracyshire,LA,92093,House,5,3,2516,1.27,1991,1592797,1644788,2024-08-29,Troy Pitts,(779)949-0306,181,True,True
PROP1030,2024-08-24,"7738 Tyler Square Apt. 487, West Nicolefurt, FM 36820",Danafort,VT,42378,Cottage,1,3,3293,2.82,2009,888170,867216,2025-03-28,Linda Brooks,5754643710,130,False,True
PROP1031,2024-07-12,"576 Smith Throughway, Lopezton, MI 96347",Ryanstad,SD,92770,Apartment,4,2,4504,0.37,2005,1190990,1238291,2025-01-29,Jason Smith,001-496-945-9490x86641,296,True,False
PROP1032,2024-07-28,"4500 Melissa Run, Lake Chris, NC 64118",North Veronica,CT,13863,Apartment,5,2,3992,2.84,1967,658155,673540,2025-06-05,Kelli Garza,377.390.7224x02811,19,False,True
PROP1033,2025-02-14,"035 Becky Junctions, West Kimberlytown, OK 66193",Rodriguezshire,WV,93364,Villa,1,3,1876,3.41,1962,1536522,1611294,2024-08-27,Charles Robinson,2228028067,364,False,True
PROP1034,2023-10-30,"7265 Horton Key, Alexischester, MN 63192",South Bryanmouth,FL,73989,Apartment,4,3,4946,2.66,1986,515571,523782,2024-10-04,Nicole Fox,246-926-3341,144,True,True
PROP1035,2025-04-25,"866 Douglas Cove, Gomezstad, IL 61248",New Tamaraport,IN,64667,Condo,5,2,4363,3.33,1952,1446403,1420497,2024-11-28,Vincent Cunningham,255.234.9664,311,False,True
PROP1036,2024-07-02,"Unit 6654 Box 8698, DPO AA 94563",South Maryview,MO,65795,Villa,3,3,2312,0.19,1958,541158,514794,2025-04-19,Monica Anderson,286.562.8391x52274,41,True,False
PROP1037,2023-10-04,"47682 Pamela Causeway, Port Kenneth, MH 71013",East Laurenbury,AZ,48466,Apartment,3,2,2874,3.24,1981,1698069,1621092,2025-07-12,Taylor Robinson,623.233.6211,43,True,True
PROP1038,2023-08-12,"315 Fisher Brook Suite 926, Davidton, NH 82102",Carloschester,DC,06691,Villa,4,2,643,2.35,1987,584261,575764,2024-11-21,Michael Pena,+1-367-379-5524x832,85,False,True
PROP1039,2024-12-07,"9079 Dawn Common, Grayberg, WA 22459",Warrenview,MT,72860,Villa,1,3,3064,1.9,1970,1553554,1585423,2024-08-16,Amanda Fowler,+1-821-741-4722x2599,273,True,False
PROP1040,2025-01-03,"053 Young Extension Suite 494, Tracishire, NC 46839",Robinchester,TN,83443,Cottage,4,3,2364,1.12,1987,763379,749284,2024-12-17,Brenda Moreno,001-597-389-1287x8982,3,True,True
PROP1041,2025-02-22,"97014 Jenkins River Suite 070, Robertston, DC 15416",West Larrychester,ID,20233,Condo,4,3,2700,1.49,2009,1053328,1057621,2024-11-17,Nancy Taylor,+1-601-935-6664x032,330,True,True
PROP1042,2024-04-21,"7666 Megan Groves Suite 765, New Michael, FM 38216",Rileyburgh,ID,04150,Condo,2,2,2559,0.32,2007,1743823,1807113,2024-09-27,Julie Mitchell,001-834-719-7197x104,245,False,True
PROP1043,2024-06-03,"36804 Bradley Glen Suite 519, North Kennethmouth, RI 54616",West Carol,FM,70481,Villa,3,2,2758,1.2,1994,1537746,1492162,2024-10-10,Seth Love,(741)603-8432x892,107,False,True
PROP1044,2024-03-05,"4111 Brandi View, Hernandezbury, WI 40092",Hensonmouth,ND,61313,Condo,2,1,3994,3.02,1981,185285,177004,2024-09-17,Meghan Cook,458-456-2538x7719,268,False,False
PROP1045,2025-03-10,"753 Wyatt Lock, West David, MH 64610",West Mary,MI,67095,Cottage,5,1,1454,2.67,2014,1385041,1430734,2024-08-09,Taylor Foster,726-852-8876x2038,349,False,True
PROP1046,2025-04-16,"83254 Doyle Prairie, Webbville, NE 48263",North Heatherview,ND,24617,Apartment,5,2,3753,0.82,2001,563702,576093,2025-07-05,Valerie Ruiz,4262466994,293,False,True
PROP1047,2023-11-02,"94267 Richard Heights, Collinsborough, VT 10400",Port Miguel,VI,84405,Condo,1,2,4471,2.9,1995,1682979,1739159,2025-07-27,Nicholas Hawkins,001-315-804-1358x813,288,True,True
PROP1048,2023-08-19,"336 Phillips Summit, Kellyville, MS 58210",West Deborah,DC,20705,Condo,4,2,1349,0.66,2005,1215827,1203167,2024-09-22,Mrs. Heather Wright,001-209-839-2951x255,264,True,True
PROP1049,2025-02-17,"12882 Deleon Court Apt. 692, Brianton, AZ 09200",Perezport,AS,19846,Villa,1,2,3667,3.13,2004,1954775,1959524,2024-08-19,Brittany Jacobson,+1-531-603-6231,173,False,False
PROP1050,2025-04-19,"8178 Jackson Mills Suite 689, Saraborough, OH 82581",Port Melissaland,MN,95021,Cottage,4,1,2220,3.28,1997,236224,245386,2024-11-12,Karen Smith,(502)396-7528x73809,232,False,True
PROP1051,2024-09-12,"4622 William Greens Apt. 626, Adamburgh, SC 35292",Mosleystad,LA,14737,Villa,3,2,609,1.2,1976,1847884,1873104,2025-06-11,Kayla Allen,+1-892-308-9897x421,251,True,True
PROP1052,2023-10-18,"583 Bobby Crescent Suite 755, Duncanfurt, MO 64858",Jacquelineton,SD,65912,Apartment,4,3,3275,1.04,1971,423400,418214,2025-07-30,Isaac Manning,(735)869-3632,150,True,False
PROP1053,2024-03-03,"1654 Amy Fort Apt. 449, North Elizabeth, GA 75696",Port Josefort,MP,96085,Cottage,2,3,1197,1.61,1966,1546968,1529052,2024-09-25,Colin Phillips,(942)909-6370,66,False,True
PROP1054,2024-08-12,"Unit 5378 Box 3841, DPO AP 85778",Andersonside,DE,78868,Condo,4,3,1967,2.37,1978,68948,66921,2025-05-11,Heather Alexander,311-657-3638x9388,215,False,True
PROP1055,2024-02-21,"4801 Chambers Dale, Lake Rachel, MD 49521",Rosechester,AK,01846,House,5,1,1356,1.66,1983,314318,324201,2024-11-20,Tanner Nixon,(389)860-3770,298,True,True
PROP1056,2024-10-26,"486 Floyd Extension, Taylorburgh, MI 61410",South Bryanchester,VA,62082,Cottage,4,1,2404,2.59,2008,1886442,1827196,2024-11-17,Brett Mccoy,749-900-0970,229,False,False
PROP1057,2025-06-29,"PSC 1588, Box 4830, APO AP 90325",Kellyside,RI,15437,Cottage,3,1,2546,0.45,1957,1261365,1206923,2025-07-26,Beth Strong,+1-396-756-1015x010,12,True,True
PROP1058,2024-04-07,"58152 Michelle Field Suite 259, Port Jeffrey, CA 43604",Lake Williamburgh,WY,35056,Villa,3,1,4851,2.64,2003,1976080,2026855,2025-04-26,Brian Wise,452.810.5995,188,False,False
PROP1059,2024-09-24,"32977 Robert Junctions Suite 341, West Johnland, VI 10576",Ericaton,MT,35997,Condo,1,2,4874,3.25,1981,505742,511319,2024-11-08,Katherine Smith,+1-373-629-8153,356,False,False
PROP1060,2025-07-06,"8596 Jackson Ferry, Davidhaven, ID 43638",New Hollyside,LA,57635,Apartment,2,2,1543,2.39,1953,1725895,1646234,2025-04-07,Alyssa Blackburn,281-431-8604,342,False,True
PROP1061,2025-04-28,"1007 Abigail Street Apt. 310, Lake Leslie, SC 59972",Nicholasmouth,WI,47063,Apartment,3,2,1754,0.5,1981,540789,531472,2025-06-20,Susan Trevino,(715)755-5597,312,False,True
PROP1062,2024-10-21,"56518 Cassandra Loop, North Johnchester, IN 09013",Nicoleton,NE,03418,Apartment,1,1,1035,2.9,1989,1172475,1191416,2025-07-18,Ashley Jenkins,(537)432-3585x64798,18,False,False
PROP1063,2023-08-04,"6861 Jason Trafficway, South Rebeccaville, NH 38499",Charleshaven,OR,61625,Apartment,1,2,876,1.41,1971,723792,758896,2024-11-05,Brenda Castro,(879)980-7727,308,True,False
PROP1064,2025-05-29,"9881 Michael Oval Apt. 431, West Tanyaberg, PW 91408",Lake Nicole,WY,91627,Apartment,3,3,971,2.54,1982,1655445,1636980,2025-02-03,Lisa Cobb,949-503-8715x147,127,False,True
PROP1065,2024-05-05,"77885 John Ramp Apt. 977, South Johnhaven, PW 06521",Port Matthewfort,RI,26034,Condo,5,2,3808,1.68,1986,645168,640210,2025-06-02,Shelley Wang,001-792-881-2376,7,False,False
PROP1066,2025-04-30,"904 Fleming Well Suite 130, Lake Jasonville, LA 05386",West Nicholas,NV,95035,House,3,2,4860,2.59,2004,105120,104044,2025-05-20,Deborah Sandoval,+1-522-677-6998x89546,213,True,True
PROP1067,2024-02-12,"8131 Johnson Route Suite 320, Markburgh, UT 62008",Hillland,GU,65470,House,5,1,875,2.47,2016,994449,963178,2025-04-25,Patricia Moses,+1-720-562-8218,358,True,False
PROP1068,2024-07-25,"219 Robert Glen Suite 137, Flynnville, AR 85661",Perezmouth,MI,79340,Apartment,5,1,3086,1.09,1997,1713696,1680428,2025-06-05,Lucas Woods,+1-244-537-2803x58661,127,True,True
PROP1069,2025-05-08,"89648 Carroll Ramp, Port Rachelton, UT 15325",Pattersonfort,HI,64383,Cottage,3,3,2054,0.57,2004,777013,805430,2024-11-10,Andrea Friedman,(468)843-3095x02672,32,False,True
PROP1070,2025-01-01,"821 Hawkins Street Apt. 097, Port Devon, MO 44204",Chaseburgh,CT,00650,Villa,2,2,4036,0.48,2017,1350065,1308230,2024-08-11,Kelsey Curtis,001-212-744-5836x759,38,False,False
PROP1071,2024-02-19,"05877 Jamie Isle, Smithbury, HI 66932",Brownton,MO,02616,Apartment,3,1,4136,1.14,1967,1092911,1054025,2024-09-29,Shari Ward,6628022575,88,True,True
PROP1072,2023-11-26,"PSC 7935, Box 2957, APO AA 36679",New Christine,MT,38349,Cottage,2,3,1110,2.38,2008,1763990,1796761,2024-12-11,Wendy Peterson,903-420-4882,260,True,True
PROP1073,2024-12-24,"278 Powell Springs, Robertston, WA 16666",West Dawn,WV,09678,Cottage,2,1,2094,2.5,1979,339437,345516,2025-05-05,Brittany Romero,228.747.0771,97,True,False
PROP1074,2024-10-06,"224 Katherine Dam Apt. 117, New Victorberg, WY 86112",Bonnieview,NY,01197,Villa,1,3,1412,2.04,1979,1044542,1021964,2025-06-26,Michael Dawson,(824)829-4133x2090,277,True,False
PROP1075,2024-01-27,"72930 Jones Harbors Apt. 315, Lake Alexandraport, RI 60051",Meganville,IN,43004,Villa,1,2,558,2.57,2008,344003,334482,2024-11-05,Jeffrey Miller,573.812.8923x2355,103,True,False
PROP1076,2025-07-12,"90421 Ronald Corners, Melissashire, WA 76340",North Jason,AS,51164,Condo,2,3,3336,2.36,2007,824185,809874,2024-10-17,Susan Ward,220.904.8440x97712,50,False,True
PROP1077,2025-01-27,"8225 John Spur, Port Daniel, NE 26836",Port Kimberly,NH,32388,Villa,2,1,2482,1.15,1981,1426760,1371488,2025-02-14,Cody Cordova,+1-569-200-0420x487,342,False,False
PROP1078,2024-03-04,"16471 Brown Port Suite 233, North Jessica, OH 19009",Bradleymouth,AK,22272,Cottage,2,2,1211,2.49,1957,859204,846712,2024-08-19,Dr. Katherine Wallace,960.653.8799,235,False,False
PROP1079,2024-02-23,"351 Travis Village Suite 170, North Amberborough, PR 18249",Christinebury,LA,53298,House,5,2,4201,0.42,2017,1876122,1870146,2024-10-01,Steven Rubio,221.359.9823,136,True,True
PROP1080,2023-08-30,"9434 Archer Inlet Suite 186, West Theresaview, ID 72753",East Kristen,PR,24086,House,5,1,4728,2.09,2013,1482296,1473378,2025-03-18,Edward Santana,(471)688-4679x47059,121,False,False
PROP1081,2024-05-15,"01262 Jeremy Park Apt. 241, West Tiffany, AZ 36286",Cookton,MP,60244,House,2,3,2158,3.27,1968,1173057,1132761,2025-07-03,Madeline Ramos,(269)988-9035x66709,27,False,False
PROP1082,2025-01-03,"69045 Barbara Ways, New Melissatown, CO 99698",Singletonshire,KS,51055,Apartment,5,3,1944,1.81,1979,144851,139821,2025-06-20,Richard Ali,+1-820-666-7006x057,14,True,False
PROP1083,2023-12-10,"20681 John Brook, Faithmouth, PW 82320",Port Nicholas,MN,36465,House,4,1,4474,1.24,1963,1077918,1083730,2025-07-20,Michelle Mejia,401-719-3090,360,False,True
PROP1084,2024-02-09,"760 Lee Cliffs Apt. 738, Port Devonside, NE 86614",West Nicholas,SD,64700,Villa,3,2,4302,0.98,1990,1817918,1744967,2024-12-24,Douglas Bush,619.633.6560x4693,342,False,False
PROP1085,2025-06-28,"3315 Scott Station, East Tracytown, NE 41395",Morganstad,FL,85269,Cottage,5,3,558,2.49,1975,332501,325374,2024-08-31,Michael Moss,+1-903-932-5360x1607,282,True,True
PROP1086,2023-10-01,"78305 Norma Ports Suite 204, Hallhaven, UT 56091",West Michaelhaven,AR,77683,Condo,3,2,4228,2.02,1979,1530809,1551929,2025-01-21,Donald Ferrell,(735)842-1293,136,False,True
PROP1087,2023-09-27,"20194 Meyer Prairie, West Brandonhaven, AL 91468",East Dawnstad,DC,62695,Condo,1,2,4675,1.21,2002,1586102,1555420,2024-10-30,Lawrence Hodges,7123256251,298,True,False
PROP1088,2024-05-30,"25335 Catherine Wells Suite 086, Medinamouth, VI 59101",Davismouth,MI,19332,Cottage,2,3,3997,3.31,1976,170540,167588,2025-05-29,Stephanie Valentine,+1-853-241-8733x4263,88,False,True
PROP1089,2024-10-21,"56360 Anthony Divide, North Donnashire, AL 31326",Danielland,VI,78771,Cottage,4,3,1628,0.74,1975,374792,358476,2025-03-21,Christopher Garcia,9363912207,7,False,True
PROP1090,2023-12-31,"30405 Nicholas Ville Apt. 843, Chambersborough, MP 79225",New Jennifer,PW,64046,Cottage,4,2,2723,3.31,1956,1751319,1749244,2024-12-14,Amanda Grimes,001-399-858-9735x702,18,True,False
PROP1091,2023-11-08,"2568 Renee Forks Apt. 700, Kellymouth, LA 39151",Hartmanchester,MN,49588,Cottage,3,3,2894,2.79,1968,668016,688151,2025-07-05,Connor Thompson,001-538-569-3430,133,True,True
PROP1092,2025-03-30,"2273 Daniel Passage Suite 095, East Angel, NM 49983",Kentview,MI,94041,Condo,5,1,3900,1.11,1977,905895,881361,2024-08-31,Amanda Cantrell,562.995.7582,14,True,True
PROP1093,2024-08-04,"10539 Ruiz Corner Suite 286, Joshuaton, PA 82968",Leonardmouth,VI,08547,House,1,1,4619,1.25,1973,1004584,1033523,2024-08-16,Jenna Bolton,+1-325-308-7755x9419,208,False,True
PROP1094,2024-09-05,"40350 Snyder Plaza, Kathleenshire, OR 57885",New Brittanyport,VA,64250,Villa,3,2,941,0.31,2016,1307000,1330961,2024-10-09,Brian Murray,(454)851-6287,359,False,False
PROP1095,2023-10-26,"360 Garcia Valley Apt. 669, Pollardstad, IN 17117",Walshfort,GU,67594,Condo,2,2,1615,0.07,1997,1083749,1047050,2025-06-13,Drew James,281.354.7489x2227,106,False,True
PROP1096,2023-11-22,"673 Harvey Orchard, Moranland, ID 97552",Port William,MN,26790,Apartment,3,1,4964,2.28,2020,305581,311743,2025-02-07,Cynthia Lee,001-537-888-7473x204,188,False,True
PROP1097,2025-05-25,"72070 Chloe Run, West Christopherbury, MD 99784",Leebury,GU,09735,Cottage,2,1,1186,2.39,1973,781465,795933,2025-02-11,Richard Molina,608-209-0364x1564,78,True,False
PROP1098,2024-04-22,"7451 Barnett Overpass Apt. 433, South Roberta, NE 39882",South Christian,MO,08648,Villa,4,1,1533,1.11,2015,1469835,1523868,2025-05-11,Robert Moore,001-772-686-0184,196,True,True
PROP1099,2025-07-02,"7155 Harris Causeway, Coxburgh, MN 19560",Lake Davidberg,IL,52626,Condo,4,3,2902,1.85,1996,1423262,1403319,2025-06-07,Dr. Clayton Fritz II,729.692.8988x991,168,False,True
PROP1100,2024-08-19,"2085 Benjamin Neck, East Toddbury, TX 56121",Port Amanda,DE,75146,Cottage,5,2,3858,2.82,1957,1188841,1151518,2025-01-02,Katie Taylor,312.564.4963x5465,73,False,False
PROP1101,2024-08-17,"6017 Ashley Villages, Millerborough, NY 90846",North Rebecca,VI,87248,Villa,4,1,4591,0.71,1954,1509230,1453495,2025-03-02,Brandi Jenkins,976-663-6033x2159,239,False,False
PROP1102,2025-06-18,"USNV Hardin, FPO AP 04177",West Cynthia,IN,91936,Apartment,1,2,1839,1.45,2009,156870,155248,2024-11-07,Sylvia Burton,7695581438,168,False,False
PROP1103,2023-11-10,"99367 Turner Mountain Suite 659, New Mary, NJ 25020",Conwayberg,MH,41387,Villa,4,2,1064,2.87,1960,1942826,1949970,2025-01-24,George Bentley,6009970654,150,True,False
PROP1104,2024-01-04,"06592 Brandon Lights, North Shirley, DC 17808",West Robertton,ME,46396,Apartment,5,1,2183,1.58,1951,167083,170530,2024-08-06,Eric Rose,001-765-660-6047,248,False,False
PROP1105,2024-06-23,"62344 Harper Meadow Apt. 796, West Melissa, DC 60888",Mcknightchester,ID,52382,House,3,2,2771,1.29,1993,1130038,1173935,2024-08-23,David Hartman,001-958-716-9047x330,70,True,True
PROP1106,2025-02-10,"5773 Valerie Turnpike, Lawrencemouth, TN 38416",East Kathryn,UT,17932,Cottage,3,1,1921,3.28,2007,1840867,1843093,2025-03-18,Jessica Kim,+1-674-255-4108x16698,13,True,False
PROP1107,2025-01-17,"244 Thompson Extension, Rachelville, KY 03933",Ruizchester,DE,84363,House,5,1,992,0.46,1972,1144698,1097872,2025-02-19,John Maynard,001-927-611-8801,122,False,True
PROP1108,2025-05-16,"24976 Newton Turnpike Suite 914, Tiffanyfort, NH 81881",Kellyland,DE,06066,Villa,5,3,3608,2.84,1981,1776137,1769122,2024-10-04,Andrew Cook,001-995-730-2237,234,False,False
PROP1109,2024-04-13,"5371 Williams Underpass, Loribury, SD 23537",South Yvonneborough,VA,59140,Condo,4,1,1314,2.88,2007,1043522,1042810,2025-05-25,Richard Kim,200.248.5939,48,True,False
PROP1110,2024-03-09,"48978 Robbins Plain Suite 241, Port Blake, HI 21543",South Mathew,NC,31035,Apartment,5,3,1775,1.31,1993,168158,168720,2025-04-24,Sharon Cooper,001-225-227-2715x834,84,False,False
PROP1111,2025-04-07,"Unit 6472 Box 2928, DPO AP 66391",Patelfort,DC,66905,Villa,5,2,4321,0.14,2017,669592,698683,2025-02-12,Gregory Farrell,715.223.8769x197,272,True,False
PROP1112,2025-04-11,"958 Katherine Wells, Frankville, MP 33858",West Bethfort,TN,78424,Condo,4,1,963,0.84,1985,1047118,1001495,2025-07-24,Anita Salinas,(763)566-5401,255,False,False
PROP1113,2023-10-11,"093 Joseph Pike, North Robert, KY 28638",Morrisonville,OK,06769,Condo,4,1,4803,3.22,2015,1227387,1169414,2025-04-12,Olivia Jones,787.964.7626x950,47,True,True
PROP1114,2023-09-17,"573 Michaela Squares Suite 371, New Pamelashire, MN 18364",Huffmantown,DC,29880,Apartment,1,3,1762,2.82,1980,992272,999158,2024-10-19,Steven Dean,291.495.2584,310,False,False
PROP1115,2024-09-04,"1262 Bradley Trace, Kristenchester, PR 50906",East Michael,PW,38159,House,4,1,3168,1.37,1961,126653,125005,2025-01-02,Victoria Andersen,605.522.5195x022,154,True,False
PROP1116,2025-07-01,"26918 Amy Circles, Bradyport, MH 55746",New Sharon,NJ,77605,Villa,5,3,4701,0.52,1950,328749,325178,2025-06-12,Kimberly Deleon,8174379038,279,True,True
PROP1117,2024-08-23,"4251 Jennings Lodge, Priscillaside, ID 58461",Keithtown,MO,29428,Cottage,4,1,3840,2.04,1979,1250625,1296648,2024-12-14,Michelle Obrien,612-299-1549,316,True,True
PROP1118,2024-09-26,"57380 Sullivan Causeway Apt. 896, Robertsfurt, RI 40024",Johnsonland,IN,11926,Villa,4,3,1618,0.91,1954,1072370,1083601,2024-09-19,Joshua Crawford,001-389-483-9165x30827,14,True,False
PROP1119,2025-04-13,"21773 Jackson Common, West Lydia, CA 46155",East Robertberg,NC,39657,Cottage,1,3,665,1.21,2020,544679,544350,2024-08-20,David Pham,973.557.8946,95,False,True
PROP1120,2024-10-05,"935 Johnson Meadow Apt. 719, North Lisa, NH 65328",North Tinaton,AK,89665,Condo,1,2,2439,1.44,2013,182475,191527,2025-04-24,Benjamin Hart,972-956-5881x634,55,False,False
PROP1121,2024-04-04,"PSC 9156, Box 2091, APO AA 99828",Blakeburgh,MI,67452,House,3,2,2733,3.22,2003,1919657,1948377,2024-08-19,Ronald Morris,673-416-5859x6666,285,False,False
PROP1122,2024-04-06,"191 Gary Mount, Arnoldbury, WA 50245",Lake Christopher,NC,31734,House,5,2,3479,1.64,2021,294534,304486,2024-10-11,Kevin Hansen,001-777-251-9226,286,True,True
PROP1123,2023-09-07,"806 Wright Manors Suite 015, New Rachel, NV 37835",Travismouth,AS,16864,Cottage,1,3,2338,1.83,1987,779794,748071,2025-05-29,Alexander Ibarra,743-424-7971x526,57,False,False
PROP1124,2024-09-14,"97062 Espinoza Meadow, Port Christina, TN 61456",New Samuelberg,OR,38223,Villa,1,3,4130,1.58,2016,1176647,1230845,2024-09-27,Daniel Jones,001-240-491-9746x663,141,False,False
PROP1125,2024-05-24,"11631 Kelly Road Suite 161, Lake Daniellefort, TN 36487",Piercefort,GA,39829,Cottage,3,2,1346,1.58,1957,236436,227665,2025-03-18,Brenda Hamilton,465-908-3958,309,True,True
